Method,Accuracy,Precision,Recall,F1,Kappa
Plain (0.5),0.7547683923705722,0.3686440677966102,0.7372881355932204,0.4915254237288136,0.3527971000293916
Plain (Youden),0.7786103542234333,0.39675174013921116,0.7245762711864406,0.512743628185907,0.38496166162191714
SMOTE-Tomek (0.5),0.7554495912806539,0.36774193548387096,0.7245762711864406,0.48787446504992865,0.34903679402362686
SMOTE-Tomek (Youden),0.8208446866485014,0.4608695652173913,0.673728813559322,0.5473321858864028,0.4405131088530405
SMOTE-ENN (0.5),0.6886920980926431,0.30782608695652175,0.75,0.436498150431566,0.2701110158538125
SMOTE-ENN (Youden),0.782016348773842,0.39805825242718446,0.6949152542372882,0.5061728395061729,0.37928118393234667
